순번,부스명,부스번호,"인포 이미지 다운로드 URL
(이미지 여러장 올려주셔도 됩니다!)",부스 소개,부스 캐릭터,트위터 링크(선택),픽시브 링크(선택),윗치폼 통판 URL 1,"윗치폼 통판 URL 2
(필요하신 경우)",,,반영 시간(관리용)
1,WATA★PUNCH,A1,https://drive.google.com/file/d/1JikLwavAob3TUY21FIsNYJ6DWj0WQNAi/view?usp=sharing,"신간 일러스트북과 아크릴스탠드, 키링, 스티커, 포토카드 등
캐릭터 매우 많으니 아래의 인포 이미지를 참고해주세요ㅇ_<★
회장님 사랑해~~~~~",심볼리 루돌프,https://x.com/MauveSR,https://www.pixiv.net/users/564736,,,인포 이미지와 소개글 업데이트 했습니다! (3.1 17:05),,2026-02-22 12:10
2,도치 아틀리에,A2,"https://drive.google.com/file/d/1sZEZWuTTkD-cdyMSUgneYkNmMZZHVTRI/view?usp=sharing 
https://drive.google.com/file/d/1KoHdrPiBu5Ee4DvuurlYvsX4mwWbl8G2/view?usp=sharing",우마무스메 TRPG 부스입니다! 아크릴 굿즈도 팔고 있습니다.,"메지로 맥퀸, 메지로 아르당, 토카이 테이오, 스페셜 위크, 어드마이어 베가, 나리타 탑로드, 골드쉽, 오구리 캡, 타마모 크로스, 마루젠 스키, 심볼리 루돌프, 미스터 시비, 사일런스 스즈카, 라이스 샤워, 미호노 부르봉, 티엠 오페라 오, 키타산 블랙, 사토노 다이아몬드, 하루 우라라, 그래스 원더, 다이와 스칼렛, 킹 헤일로, 나이스 네이처",https://x.com/HDochi_W,,,,인포 이미지 업데이트 3.7 (5:35),이미지 다운 403 오류나서 트위터 내 이미지 URL로 바꿔뒀습니다!,2026-02-22 13:41
3,타키키팔레트,A3,https://x.com/Takiki2828kr/status/2026195133054775510?s=20,우마무스메 팬 만화 및 굿즈,메지로도베르 등 다수,https://x.com/Takiki2828kr,https://www.pixiv.net/users/60386498,,,,,2026-02-22 19:02
4,토마토마,A4,https://drive.google.com/drive/folders/1UBaY8xPQY0CKFGewIgGqsgFQGzPpiYxV?usp=drive_link,8384 위주 / 최애 우마무들 위주로 준비했습니다 ( ˘▽˘)っ♡,"카츠라기 에이스, 미스터 시비, 심볼리 루돌프, 에어 샤커, 오구리캡, 타마모크로스",https://x.com/tomadoci,,,,인포 이미지 추가했습니당,,2026-02-23 3:22
5,벌꿀당근,A5,https://x.com/SPakkyu845/status/2025843072483946925?s=20,토카이 테이오 ONLY 부스입니다!,토카이 테이오,https://x.com/SPakkyu845,,https://witchform.com/payform/?uuid=CNCQRVAKC6,,인포 이미지 추가했습니다!,,2026-02-23 15:35
6,Uma Atelier,A6,https://x.com/i/status/2028024695023599938,일러북과 포스터를 판매합니다,"티엠 오페라 오, 골드쉽",https://x.com/umaajmtd135,,,,,,2026-02-23 19:49
7,인터넷의 아틀리에,A7,https://naver.me/GP2xEQyq,우마무스메 2차창작 4컷 만화책,슈발그랑,https://twitter.com/1_netnet,,,,,,2026-02-23 21:36
8,위원장의 은밀한 취미,A8,위원장의 은밀한 취미 인포,아무도 시킨 적 없는 박신 깎는 부스,사쿠라 바쿠신 오,https://x.com/LookSeeWatch1,,,,엑세스 권한 수정했습니다!,,2026-02-24 0:21
9,팔코의 흙장난,B1,https://x.com/i/status/2026938401149300901,안녕하세여 팔코 마니마니 좋아해여 우리 팔코 많이 좋아해주세여,"스마트 팔콘, 다이와 스칼렛, 마야노 탑건, 라이스 샤워, 골드 쉽, 원더 어큐트, 아그네스 디지털, 애스턴 마쨩, 카렌쨩, 코파노 리키, 홋코 타루마에, 하루 우라라, 오구리 캡, 다이이치 루비, 젠틸돈나, 맨하탄 카페, 비블로스, 카렌 부케도르, 슈퍼 크릭, 메지로 맥퀸",,,,,,,2026-02-24 9:52
10,반짝반짝 당근상회,B2,,"수공예 당근굿즈, 트레센학원굿즈, 달리는 우마무스메 코스프레 엽서 판매예정입니다!","아몬드아이,젠틸돈나,나이스네이처",https://x.com/Se_ra_B,,,,,,2026-02-24 16:48
